model,node_count,agent_count,tokens_per_second,simulated_duration_ms,completed_token_count,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,remote_expert_route_fraction,mean_compute_busy_fraction,mean_memory_bandwidth_busy_fraction,maximum_network_link_busy_fraction
DeepSeek V4.1 Flash,4,147,835.9748860454868,1850.0,1548,169.08368918555993,192.59924101407884,2.9403236682400538,0.7516451100521897,1.0,1.0,0.039006778492943386
DeepSeek V4.1 Flash,4,215,892.0969977793106,2400.0,2156,226.5851677615809,316.6252259569285,3.6996608078939253,0.7524712364284557,1.0,1.0,0.04396560728227087
DeepSeek V4.1 Flash,4,316,968.7326907217573,3250.0,3174,315.51960482516967,445.68068207631086,4.372398414271556,0.7531546621998884,0.9991768557150287,0.9991768557150287,0.04556883025600135
DeepSeek V4.1 Flash,4,406,1000.6568164235292,4050.0,4093,389.65551326632385,540.1627661750507,5.03570626543903,0.7454212454212454,0.9976067175645391,0.9976067175645391,0.04765125043533332
DeepSeek V4.1 Flash,5,1,69.68650025500003,1850.0,128,14.349981651263219,15.11649481224048,1,0.7994791666666666,0.16499718817262002,0.16499718817262002,0.00583372911853193
DeepSeek V4.1 Flash,5,2,136.20977583279924,950.0,129,14.580384454075805,16.186859609126508,1,0.8046875,0.32445375641082125,0.32445375641082125,0.006671073988633067
DeepSeek V4.1 Flash,5,3,199.0296376095895,700.0,138,15.065469149696867,17.171108145573793,1.003717472118959,0.7975308641975308,0.4710126539537737,0.4710126539537737,0.008172068240745466
DeepSeek V4.1 Flash,5,4,248.76868354348946,550.0,136,15.917222429297201,19.918082271900893,1.0062578222778473,0.804726368159204,0.593414016524315,0.593414016524315,0.008423251213739708
DeepSeek V4.1 Flash,5,5,292.8795721398763,450.0,130,17.069285375183686,21.070497241392076,1.0107671601615074,0.783068783068783,0.6926990817032405,0.6926990817032405,0.009887008083222239
DeepSeek V4.1 Flash,5,6,299.21982931871923,450.0,134,20.066979844701834,24.095475371611535,1.0158730158730158,0.7981770833333334,0.702891839832666,0.702891839832666,0.010921497355473282
DeepSeek V4.1 Flash,5,7,325.9211659482444,400.0,128,21.252145683661762,25.081638689590573,1.0245231607629428,0.8018372703412073,0.7689940847661187,0.7689940847661187,0.01079684978437398
DeepSeek V4.1 Flash,5,8,344.755121815275,400.0,138,22.54819676418257,26.25200348647672,1.034263959390863,0.8137254901960784,0.8249924486212373,0.8249924486212373,0.012956219741248935
DeepSeek V4.1 Flash,5,10,407.15290294571105,350.0,141,23.950440027934697,28.880244015139283,1.0491591203104786,0.7992700729927007,0.9639928193121022,0.9639928193121022,0.012972355074016728
DeepSeek V4.1 Flash,5,15,477.82432711665797,350.0,167,30.19439936941386,35.432694680248915,1.100811123986095,0.810838445807771,0.985151016179314,0.985151016179314,0.01510302575592558
DeepSeek V4.1 Flash,5,22,535.477838719053,450.0,241,40.42388820248904,49.67523165730983,1.155247181266262,0.8019005847953217,0.9936200347234662,0.9936200347234662,0.01600797096357708
DeepSeek V4.1 Flash,5,32,601.75891070203,550.0,330,51.336813871212634,62.302521060787264,1.2356902356902357,0.8024109014675053,0.99969543110271,0.99969543110271,0.018881977408167713
DeepSeek V4.1 Flash,5,46,690.9875148612283,700.0,483,64.65805576964553,77.93566291966921,1.4366648850881882,0.8144104803493449,1.0,1.0,0.020713661218658343
DeepSeek V4.1 Flash,5,68,772.9793630692058,900.0,697,83.83819424277979,100.92596525392962,1.7000431592576608,0.7945103857566765,1.0,1.0,0.023823851993834452
DeepSeek V4.1 Flash,5,100,914.2664448901861,1150.0,1052,105.04420715252255,121.18316663821173,2.3045331266950795,0.7916249582916249,1.0,1.0,0.028001003727465463
DeepSeek V4.1 Flash,5,147,1099.3735487077172,1500.0,1557,136.92601542959653,160.5295706265346,2.9444818304172276,0.7908187984496124,1.0,1.0,0.032401147958779034
DeepSeek V4.1 Flash,5,215,1127.9277197651243,1900.0,2154,176.6358987406928,199.65262902832174,4.080546075085325,0.798818407960199,1.0,1.0,0.03344703552110801
DeepSeek V4.1 Flash,5,316,1220.0416713182062,2600.0,3198,241.93767773540503,276.85206742955353,5.1110181311018135,0.7991343379288234,1.0,1.0,0.03715310393760105
DeepSeek V4.1 Flash,5,464,1449.7675094140802,3250.0,4640,319.40302580520876,343.1010301799618,8.242105263157894,0.7968949553001277,1.0,1.0,0.0407015422388731
